sim_time_sec,commanded_effort_Nm,joint_position_rad,joint_velocity_rad_per_sec
1748403547.4658816,200.0,1.5707963268266691,2.6232824940075616e-11
1748403547.485795,200.0,1.5707963268271932,2.6232842287310376e-11
1748403547.5053823,200.0,1.5707963268277172,2.6232835348416472e-11
1748403547.5254211,200.0,1.5707963268282412,2.6232842287310376e-11
1748403547.5454984,200.0,1.5707963268287652,2.6232824940075616e-11
1748403547.5653074,200.0,1.5707963268292893,2.6232828409522568e-11
1748403547.5851674,200.0,1.5707963268298133,2.6232828409522568e-11
1748403547.6056335,200.0,1.5707963268303373,2.6232842287310376e-11
1748403547.625397,200.0,1.5707963268308613,2.6232824940075616e-11
1748403547.6451697,200.0,1.5707963268313854,2.6232835348416472e-11
1748403547.6654005,200.0,1.5707963268319094,2.6232828409522568e-11
1748403547.68524,200.0,1.5707963268324334,2.623283187896952e-11
1748403547.7052429,200.0,1.5707963268329574,2.6232838817863424e-11
1748403547.7253168,200.0,1.5707963268334815,2.6232828409522568e-11
1748403547.7452557,200.0,1.5707963268340055,2.623283187896952e-11
1748403547.7655716,200.0,1.5707963268345295,2.6232838817863424e-11
1748403547.7854023,200.0,1.5707963268350535,2.6232821470628664e-11
1748403547.8053384,200.0,1.5707963268355776,2.6232835348416472e-11
1748403547.8253322,200.0,1.5707963268361016,2.6232838817863424e-11
1748403547.845406,200.0,1.5707963268366256,2.6232835348416472e-11
1748403547.8655856,200.0,1.5707963268371496,2.6232828409522568e-11
1748403547.8853648,200.0,1.5707963268371496,2.6232828409522568e-11
1748403547.905713,200.0,1.5707963268376737,2.6232842287310376e-11
1748403547.9253569,200.0,1.5707963268381977,2.623283187896952e-11
1748403547.9454021,200.0,1.5707963268387217,2.6232835348416472e-11
1748403547.9655285,200.0,1.5707963268392457,2.6232828409522568e-11
1748403547.98553,200.0,1.5707963268397698,2.6232835348416472e-11
1748403548.0054483,200.0,1.5707963268402938,2.623283187896952e-11
1748403548.0254166,200.0,1.5707963268408178,2.6232828409522568e-11
1748403548.0452287,200.0,1.5707963268413419,2.6232828409522568e-11
1748403548.0657296,200.0,1.5707963268418659,2.6232828409522568e-11
1748403548.0854077,200.0,1.57079632684239,2.6232838817863424e-11
1748403548.105361,200.0,1.570796326842914,2.6232818001181712e-11
1748403548.1252046,200.0,1.570796326843438,2.623283187896952e-11
1748403548.1454647,200.0,1.570796326843962,2.6232835348416472e-11
1748403548.165285,200.0,1.570796326844486,2.623283187896952e-11
1748403548.185417,200.0,1.57079632684501,2.6232824940075616e-11
1748403548.2052844,200.0,1.570796326845534,2.6232824940075616e-11
1748403548.2254393,200.0,1.570796326846058,2.623283187896952e-11
1748403548.2455292,200.0,1.570796326846582,2.623283187896952e-11
1748403548.265634,200.0,1.5707963268471061,2.6232835348416472e-11
1748403548.2855468,200.0,1.5707963268476302,2.6232828409522568e-11
1748403548.3053033,200.0,1.5707963268481542,2.6232821470628664e-11
1748403548.3253317,200.0,1.5707963268486782,2.6232835348416472e-11
1748403548.345432,200.0,1.5707963268492022,2.6232824940075616e-11
1748403548.3655045,200.0,1.5707963268497263,2.6232828409522568e-11
1748403548.385386,200.0,1.5707963268502503,2.6232824940075616e-11
1748403548.4053938,200.0,1.5707963268507743,2.6232828409522568e-11
1748403548.4253588,200.0,1.5707963268512983,2.6232842287310376e-11
1748403548.4452267,200.0,1.5707963268518224,2.6232835348416472e-11
1748403548.4653547,200.0,1.5707963268523464,2.623283187896952e-11
1748403548.4861734,200.0,1.5707963268528704,2.6232828409522568e-11
1748403548.5053961,200.0,1.5707963268528704,2.6232828409522568e-11
1748403548.5260954,200.0,1.5707963268533944,2.6232824940075616e-11
1748403548.545384,200.0,1.5707963268539185,2.623283187896952e-11
1748403548.5658238,200.0,1.5707963268544425,2.6232824940075616e-11
1748403548.5852866,200.0,1.5707963268549665,2.6232818001181712e-11
1748403548.6055014,200.0,1.5707963268554905,2.6232828409522568e-11
1748403548.6256704,200.0,1.5707963268560146,2.6232828409522568e-11
1748403548.6453006,200.0,1.5707963268565386,2.6232821470628664e-11
1748403548.6658716,200.0,1.5707963268570626,2.6232842287310376e-11
1748403548.6855567,200.0,1.5707963268575866,2.6232838817863424e-11
1748403548.7056344,200.0,1.5707963268581107,2.6232828409522568e-11
1748403548.7256758,200.0,1.5707963268586347,2.6232818001181712e-11
1748403548.7457929,200.0,1.5707963268591587,2.6232838817863424e-11
1748403548.7656205,200.0,1.5707963268596827,2.623284922620428e-11
1748403548.785326,200.0,1.5707963268602068,2.6232824940075616e-11
1748403548.8052523,200.0,1.5707963268607308,2.623283187896952e-11
1748403548.8253098,200.0,1.5707963268612548,2.623283187896952e-11
1748403548.8453734,200.0,1.5707963268617788,2.6232838817863424e-11
1748403548.865388,200.0,1.5707963268623029,2.6232821470628664e-11
1748403548.8853092,200.0,1.5707963268628269,2.6232828409522568e-11
1748403548.905633,200.0,1.570796326863351,2.6232835348416472e-11
1748403548.925333,200.0,1.570796326863875,2.6232838817863424e-11
1748403548.945618,200.0,1.570796326864399,2.623283187896952e-11
1748403548.965416,200.0,1.570796326864923,2.623283187896952e-11
1748403548.9854326,200.0,1.570796326865447,2.6232835348416472e-11
1748403549.0054471,200.0,1.570796326865971,2.623283187896952e-11
1748403549.0253873,200.0,1.570796326866495,2.6232838817863424e-11
1748403549.0454402,200.0,1.570796326867019,2.6232828409522568e-11
1748403549.065322,200.0,1.5707963268675431,2.623284922620428e-11
1748403549.0854573,200.0,1.5707963268680671,2.6232824940075616e-11
1748403549.1057487,200.0,1.5707963268685912,2.6232838817863424e-11
1748403549.125052,200.0,1.5707963268691152,2.6232842287310376e-11
1748403549.1461453,200.0,1.5707963268696392,2.6232824940075616e-11
1748403549.1655154,200.0,1.5707963268696392,2.6232824940075616e-11
1748403549.1855035,200.0,1.5707963268701632,2.623283187896952e-11
1748403549.205516,200.0,1.5707963268706873,2.6232838817863424e-11
1748403549.2253768,200.0,1.5707963268712113,2.6232842287310376e-11
1748403549.245287,200.0,1.5707963268717353,2.6232835348416472e-11
1748403549.2655168,200.0,1.5707963268722593,2.6232821470628664e-11
1748403549.2856824,200.0,1.5707963268727834,2.6232842287310376e-11
1748403549.3056724,200.0,1.5707963268733074,2.6232828409522568e-11
1748403549.3252852,200.0,1.5707963268738314,2.6232838817863424e-11
